date,dayl(s),prcp(mm/day),srad(W/m2),swe(mm),tmax(C),tmin(C),vp(Pa),QObs(mm/d)
1980-04-06,44928.01,0.0,522.37,0.0,22.12,6.5,960.0,6.741228697488003
1980-04-07,45036.29,0.0,435.71,0.0,23.0,11.5,1360.0,5.7489450340727135
1980-04-08,45273.6,0.0,384.32,0.0,24.99,15.0,1720.0,5.134674194815629
1980-04-09,45273.6,12.47,280.46,0.0,26.68,16.73,1898.45,5.024420454436152
1980-04-10,45273.6,0.0,516.78,0.0,26.0,10.0,1239.94,4.646407630277946
1980-04-11,45619.2,0.0,555.17,0.0,27.5,8.0,1079.89,4.063637859700712
1980-04-12,45619.2,0.0,475.24,0.0,28.61,14.14,1611.22,3.6383734325227306
1980-04-13,45619.2,0.0,398.59,0.0,28.21,17.17,1946.45,3.3706143487440015
1980-04-14,45964.79,20.61,339.92,0.0,27.35,14.51,1642.27,3.2761111427044503
1980-04-15,45964.79,0.0,522.21,0.0,21.5,6.33,946.49,3.1658574023249733
1980-04-16,45964.79,0.0,537.53,0.0,23.0,6.47,957.34,2.9138488528861703
1980-04-17,46310.39,0.0,546.34,0.0,25.36,7.5,1040.0,2.677590837787291
1980-04-18,46310.39,0.0,512.9,0.0,26.38,10.5,1280.0,2.4255822883484877
1980-04-19,46310.39,0.0,447.75,0.0,25.5,12.86,1469.02,2.220825341929459
1980-04-20,46418.67,7.86,325.45,0.0,24.5,12.5,1440.0,2.031818929850356
1980-04-21,46655.99,0.0,517.93,0.0,26.0,10.0,1240.0,1.8585630521111784
1980-04-22,46655.99,0.0,523.03,0.0,29.5,12.5,1440.0,1.6853071743720007
1980-04-23,46655.99,0.0,494.44,0.0,30.5,14.93,1708.99,1.496300762292898
1980-04-24,47001.59,0.0,453.81,0.0,30.0,16.5,1880.0,1.3230448845537204
1980-04-25,47001.59,0.0,480.25,0.0,28.96,14.5,1640.0,1.165539541154468
1980-04-26,47001.59,0.0,448.56,0.0,28.5,15.5,1760.09,1.0710363351149166
1980-04-27,47253.57,17.7,316.13,0.0,27.92,15.99,1798.88,1.4332986249331972
1980-04-28,47347.2,0.0,509.15,0.0,27.0,11.28,1342.64,1.5593028996525988
1980-04-29,47347.2,0.0,484.58,0.0,24.17,10.0,1239.92,1.4332986249331972
1980-04-30,47347.2,0.0,486.54,0.0,26.04,11.5,1360.0,1.29154381587387
1980-05-01,47692.81,1.0,380.34,0.0,26.5,16.0,1800.0,1.165539541154468
1980-05-02,47692.81,0.0,381.2,0.0,24.63,14.31,1624.59,1.0710363351149166
1980-05-03,47692.81,0.0,452.76,0.0,27.5,14.13,1610.41,0.9607825947354398
1980-05-04,47692.81,0.0,440.1,0.0,28.0,14.94,1709.9,0.8505288543559629
1980-05-05,48038.39,0.25,435.75,0.0,28.5,15.37,1749.32,0.7717761826563367
1980-05-06,48038.39,0.0,472.25,0.0,29.5,14.9,1704.55,0.6615224422768602
1980-05-07,48038.39,0.0,462.51,0.0,30.0,15.66,1772.56,0.582769770577234
1980-05-08,48042.48,14.12,315.32,0.0,30.0,17.36,1977.55,0.5985203049171592
1980-05-09,48384.0,27.5,304.3,0.0,27.58,15.84,1787.02,0.8820299230358135
1980-05-10,48384.0,0.0,463.32,0.0,24.5,11.04,1322.82,1.0237847320951408
1980-05-11,48384.0,0.0,467.23,0.0,28.43,14.32,1625.76,0.9292815260555892
1980-05-12,48384.0,0.0,477.72,0.0,30.5,15.5,1760.0,0.8190277856761126
1980-05-13,48729.59,0.0,464.13,0.0,31.0,16.46,1873.13,0.7245245796365613
1980-05-14,48729.59,0.0,429.85,0.0,31.14,18.0,2080.0,0.6142708392570845
1980-05-15,48729.59,0.0,428.4,0.0,31.0,18.0,2080.0,0.5355181675574583
1980-05-16,48729.59,13.94,284.46,0.0,30.5,19.5,2280.0,0.48826656453768247
1980-05-17,48837.87,0.0,309.18,0.0,29.5,21.0,2480.0,0.42526442717798146
1980-05-18,49075.2,0.0,409.32,0.0,30.5,18.74,2158.78,0.393763358498131
1980-05-19,49075.2,0.0,396.75,0.0,32.04,20.5,2399.99,0.34651175547835533
1980-05-20,49075.2,0.0,381.06,0.0,32.0,21.0,2480.0,0.31501068679850486
1980-05-21,49075.2,0.0,449.59,0.0,31.18,17.92,2066.43,0.2835096181186543
1980-05-22,49183.49,18.14,313.52,0.0,31.5,19.5,2280.0,0.25200854943880385
1980-05-23,49420.8,11.6,241.02,0.0,28.91,20.5,2400.0,0.26775908377872915
1980-05-24,49420.8,7.9,243.62,0.0,29.5,21.0,2480.0,0.3622622898182806
1980-05-25,49420.8,0.0,402.55,0.0,31.0,20.0,2320.0,0.34651175547835533
1980-05-26,49420.8,15.12,337.03,0.0,30.89,18.19,2095.12,0.45676549585783205
1980-05-27,49420.8,0.0,447.15,0.0,30.5,18.0,2080.0,0.393763358498131
1980-05-28,49529.09,0.0,489.86,0.0,30.5,16.19,1830.18,0.34651175547835533
1980-05-29,49766.39,0.0,492.61,0.0,30.0,15.67,1773.98,0.2992601524585796
1980-05-30,49766.39,0.0,492.46,0.0,30.44,16.0,1800.0,0.26775908377872915
1980-05-31,49766.39,0.0,467.18,0.0,31.0,17.5,2000.0,0.22050748075895338
1980-06-01,49766.39,0.0,465.61,0.0,31.0,17.5,2000.0,0.20475694641902814
1980-06-02,49766.39,0.0,499.85,0.0,31.49,16.24,1838.77,0.17325587773917767
1980-06-03,49766.39,0.0,488.66,0.0,32.5,17.5,2000.0,0.1543552365312674
1980-06-04,49766.39,0.0,461.12,0.0,34.24,20.0,2320.0,0.13545459532335707
1980-06-05,49874.68,0.0,450.79,0.0,34.97,21.0,2480.0,0.12127911441742435
1980-06-06,50111.29,0.0,431.65,0.0,35.96,22.58,2733.15,0.10552858007749913
1980-06-07,50112.01,0.0,424.58,0.0,33.49,21.0,2480.0,0.09922836634152903
1980-06-08,50112.01,0.0,419.35,0.0,33.5,21.19,2509.99,0.08820299230358135
1980-06-09,50112.01,17.97,319.32,0.0,32.94,20.49,2399.05,0.08820299230358135
1980-06-10,50112.01,9.9,316.2,0.0,31.0,19.2,2231.65,0.08820299230358135
1980-06-11,50112.01,0.0,477.68,0.0,31.65,17.46,1993.64,0.07560256483164116
1980-06-12,50112.01,0.0,502.46,0.0,33.5,17.5,1999.99,0.06300213735970096
1980-06-13,50112.01,0.0,461.37,0.0,33.5,19.49,2278.9,0.05355181675574582
1980-06-14,50112.01,0.0,518.4,0.0,32.0,15.5,1760.0,0.04882665645376825
1980-06-15,50112.01,0.0,492.63,0.0,32.99,17.5,2000.0,0.04252644271779815
1980-06-16,50112.01,0.0,478.29,0.0,33.0,18.0,2080.0,0.03780128241582058
1980-06-17,50112.01,0.0,489.22,0.0,33.95,18.0,2080.0,0.03307612211384301
1980-06-18,50112.01,0.0,430.9,0.0,33.72,20.47,2395.05,0.02992601524585796
1980-06-19,50112.01,18.91,318.58,0.0,33.5,20.5,2400.0,0.04252644271779815
1980-06-20,50112.01,18.41,291.71,0.0,32.0,20.64,2422.56,0.05040170988776078
1980-06-21,50112.01,8.7,243.44,0.0,30.5,21.5,2559.98,0.06457719079369348
1980-06-22,50112.01,5.16,302.49,0.0,32.0,20.5,2400.0,0.05985203049171592
1980-06-23,50112.01,16.86,266.34,0.0,31.5,21.35,2535.28,0.06772729766167854
1980-06-24,50112.01,19.11,272.12,0.0,31.99,21.49,2558.6,0.06772729766167854
1980-06-25,50112.01,12.34,232.93,0.0,31.0,22.35,2695.97,0.07875267169962621
1980-06-26,50112.01,10.68,182.66,0.0,29.0,22.5,2720.0,0.09450320603955144
1980-06-27,50112.01,16.96,269.73,0.0,30.5,20.63,2420.12,0.09450320603955144
1980-06-28,50112.01,0.0,397.48,0.0,33.0,21.5,2560.0,0.08820299230358135
1980-06-29,50112.01,0.0,370.62,0.0,32.35,22.0,2640.0,0.0771776182656337
1980-06-30,50112.01,11.27,281.6,0.0,32.5,22.0,2640.0,0.07560256483164116
1980-07-01,50112.01,0.0,409.37,0.0,33.5,21.65,2584.07,0.07560256483164116
1980-07-02,50112.01,0.0,436.71,0.0,34.19,21.21,2514.18,0.06615224422768602
1980-07-03,50112.01,0.0,432.09,0.0,34.26,21.5,2560.0,0.05670192362373088
1980-07-04,50112.01,0.0,413.14,0.0,33.86,22.0,2640.0,0.05355181675574582
1980-07-05,50018.34,0.0,406.2,0.0,34.5,22.78,2765.23,0.0519767633217533
1980-07-06,49770.48,0.0,422.7,0.0,35.39,22.84,2774.83,0.04882665645376825
1980-07-07,49766.39,14.72,358.35,0.0,35.5,20.5,2400.0,0.04725160301977572
1980-07-08,49766.39,0.84,420.05,0.0,34.5,22.0,2640.0,0.0456765495857832
1980-07-09,49766.39,0.0,446.59,0.0,35.0,21.5,2560.0,0.04095138928380563
1980-07-10,49766.39,0.0,443.86,0.0,35.5,21.92,2627.24,0.03150106867985048
1980-07-11,49766.39,0.0,423.69,0.0,36.28,23.35,2855.33,0.02677590837787291
1980-07-12,49766.39,0.0,391.02,0.0,37.0,25.23,3214.67,0.02677590837787291
1980-07-13,49765.66,6.92,388.36,0.0,37.16,22.79,2766.11,0.02362580150988786
1980-07-14,49420.8,0.0,404.74,0.0,37.25,25.0,3160.0,0.020475694641902815
1980-07-15,49420.8,7.67,338.35,0.0,36.46,24.0,3000.0,0.01890064120791029
1980-07-16,49420.8,0.0,453.78,0.0,35.0,21.5,2559.89,0.017325587773917767
1980-07-17,49420.8,0.0,454.4,0.0,35.0,21.5,2560.0,0.01575053433992524
1980-07-18,49420.8,13.48,323.2,0.0,35.0,22.5,2720.0,0.01890064120791029
1980-07-19,49420.08,28.87,310.48,0.0,33.5,22.0,2640.0,0.02362580150988786
1980-07-20,49075.2,5.48,298.12,0.0,32.69,22.0,2640.0,0.02362580150988786
1980-07-21,49075.2,11.11,310.4,0.0,33.5,22.0,2640.0,0.02362580150988786
1980-07-22,49075.2,0.0,446.51,0.0,34.48,21.4,2544.32,0.022050748075895337
1980-07-23,49075.2,5.49,360.53,0.0,32.7,21.65,2584.59,0.020475694641902815
1980-07-24,49075.2,19.61,244.31,0.0,30.0,21.79,2606.92,0.058276977057723396
1980-07-25,48729.59,132.79,147.2,0.0,25.5,21.0,2480.0,4.126639997060414
1980-07-26,48729.59,65.6,226.51,0.0,29.34,21.9,2623.25,10.316599992651032
1980-07-27,48729.59,15.66,276.07,0.0,31.0,21.5,2560.0,9.985838771512602
1980-07-28,48729.59,32.97,287.06,0.0,31.5,21.5,2560.0,8.962054039417463
1980-07-29,48635.93,0.0,380.53,0.0,32.03,22.0,2640.0,7.843766101282771
1980-07-30,48384.0,0.0,412.18,0.0,32.76,21.5,2560.0,7.418501674104789
1980-07-31,48384.0,0.0,423.4,0.0,33.93,22.0,2640.0,6.599473888428677
1980-08-01,48384.0,0.0,425.4,0.0,34.0,22.0,2640.0,5.922200911811891
1980-08-02,48383.28,0.0,419.61,0.0,34.0,22.23,2677.11,5.402433278594358
1980-08-03,48038.39,0.0,415.5,0.0,34.07,22.43,2709.35,4.914166714056676
1980-08-04,48038.39,0.0,445.44,0.0,34.47,21.5,2560.0,4.425900149518993
1980-08-05,48038.39,0.0,430.35,0.0,35.0,22.5,2720.0,3.969134653661161
1980-08-06,48037.67,0.0,445.79,0.0,35.0,21.89,2622.38,3.5123691578033287
1980-08-07,47692.81,0.0,434.24,0.0,34.5,21.99,2638.76,3.087104730625347
1980-08-08,47692.81,0.0,438.73,0.0,34.91,22.11,2657.23,2.7405929751469924
1980-08-09,47692.81,0.0,453.74,0.0,35.0,21.5,2560.0,2.4413328226884126
1980-08-10,47455.47,12.04,342.08,0.0,34.5,21.0,2480.0,2.5988381660876647
1980-08-11,47347.2,5.15,331.34,0.0,34.29,21.41,2545.08,3.685625035542507
1980-08-12,47347.2,9.7,324.07,0.0,34.5,22.0,2640.0,3.5596207608231047
1980-08-13,47347.2,1.23,387.02,0.0,34.54,22.5,2720.0,3.2131090053447493
1980-08-14,47001.59,11.97,279.51,0.0,32.41,22.5,2720.0,3.150106867985048
1980-08-15,47001.59,8.73,271.43,0.0,31.32,22.0,2640.0,4.000635722341012
1980-08-16,47001.59,0.0,429.26,0.0,33.52,21.5,2560.0,4.000635722341012
1980-08-17,47000.86,0.0,443.3,0.0,35.06,22.0,2640.0,3.150106867985048
1980-08-18,46655.99,0.0,407.87,0.0,34.49,22.99,2798.18,2.535836028727964
1980-08-19,46655.99,6.02,304.37,0.0,33.5,22.51,2720.89,2.1735737389096834
1980-08-20,46655.99,0.0,425.16,0.0,35.0,22.61,2736.99,1.9058146551309543
1980-08-21,46310.39,0.0,422.57,0.0,36.0,23.41,2865.09,1.6380555713522251
1980-08-22,46310.39,8.62,384.2,0.0,36.75,22.0,2640.0,1.4017975562533467
1980-08-23,46310.39,4.8,424.29,0.0,35.92,21.5,2560.0,1.1812900754943931
1980-08-24,45964.79,3.18,404.39,0.0,33.0,20.55,2408.26,1.0080341977552154
1980-08-25,45964.79,0.0,451.26,0.0,32.0,18.5,2120.0,0.8662793886958883
1980-08-26,45964.79,0.23,435.71,0.0,31.3,18.5,2120.0,0.7245245796365613
1980-08-27,45964.07,5.2,289.57,0.0,31.5,20.5,2400.0,0.6300213735970097
1980-08-28,45619.2,0.0,407.49,0.0,32.58,20.5,2400.0,0.5512687018973834
1980-08-29,45619.2,0.0,386.8,0.0,32.92,21.5,2559.86,0.48826656453768247
1980-08-30,45619.2,0.0,421.88,0.0,33.49,20.5,2400.0,0.42526442717798146
1980-08-31,45273.6,0.0,417.22,0.0,34.0,21.0,2480.08,0.3622622898182806
1980-09-01,45273.6,0.0,426.69,0.0,34.0,20.5,2400.0,0.31501068679850486
1980-09-02,45273.6,8.08,305.37,0.0,33.62,21.0,2480.0,0.3307612211384301
1980-09-03,44928.01,5.02,312.46,0.0,32.91,20.0,2320.0,0.31501068679850486
1980-09-04,44928.01,5.86,317.36,0.0,32.72,19.5,2280.0,0.2835096181186543
1980-09-05,44928.01,3.27,314.86,0.0,33.02,20.5,2400.25,0.2835096181186543
1980-09-06,44582.38,0.0,428.64,0.0,33.71,19.84,2307.15,0.23625801509887862
1980-09-07,44582.38,0.0,427.69,0.0,34.5,20.39,2381.68,0.20475694641902814
1980-09-08,44582.38,0.0,437.98,0.0,35.0,20.11,2337.98,0.18900641207910288
1980-09-09,44236.8,17.53,337.51,0.0,34.0,18.64,2142.38,0.20475694641902814
1980-09-10,44236.8,0.0,434.1,0.0,32.8,18.5,2120.0,0.17325587773917767
1980-09-11,44236.8,0.93,369.76,0.0,32.49,20.0,2320.0,0.15278018309727484
1980-09-12,43891.2,0.0,423.84,0.0,32.52,18.6,2135.83,0.15750534339925243
1980-09-13,43891.2,0.0,413.99,0.0,32.0,18.5,2120.0,0.14175480905932716
1980-09-14,43891.2,5.48,283.75,0.0,31.93,19.83,2306.54,0.1433298624933197
1980-09-15,43545.58,0.0,389.95,0.0,33.5,20.5,2400.0,0.1496300762292898
1980-09-16,43545.58,0.0,397.69,0.0,34.07,20.5,2400.0,0.3307612211384301
1980-09-17,43545.58,7.61,230.89,0.0,31.0,21.5,2560.0,0.37801282415820575
1980-09-18,43199.99,28.26,222.35,0.0,29.95,21.0,2480.0,0.7717761826563367
1980-09-19,43199.99,0.0,344.55,0.0,32.0,21.02,2483.38,0.9450320603955145
1980-09-20,43199.99,0.0,378.97,0.0,33.26,20.56,2409.73,0.7717761826563367
1980-09-21,43199.99,0.0,373.32,0.0,33.5,20.96,2474.35,0.6142708392570845
1980-09-22,42854.4,0.0,368.9,0.0,33.99,21.5,2560.0,0.47251603019775723
1980-09-23,42854.4,0.0,378.24,0.0,34.0,21.0,2479.99,0.393763358498131
1980-09-24,42854.4,0.0,369.96,0.0,33.58,20.99,2479.06,0.34651175547835533
1980-09-25,42508.79,0.0,390.39,0.0,33.5,19.9,2311.86,0.2992601524585796
1980-09-26,42508.79,0.0,382.39,0.0,33.81,20.36,2378.1,0.26775908377872915
1980-09-27,42508.79,0.0,380.02,0.0,34.0,20.5,2400.0,0.22050748075895338
1980-09-28,42163.19,8.31,252.13,0.0,32.28,21.0,2480.0,0.20475694641902814
1980-09-29,42163.19,5.0,232.03,0.0,31.01,21.0,2479.99,0.18900641207910288
1980-09-30,42163.19,10.15,245.97,0.0,31.29,20.5,2400.0,0.42526442717798146
1980-10-01,41817.59,3.87,222.92,0.0,28.07,18.94,2190.08,0.47251603019775723
1980-10-02,41817.59,0.0,293.18,0.0,26.83,18.0,2080.17,0.42526442717798146
1980-10-03,41817.59,0.0,360.94,0.0,27.5,16.02,1803.67,0.37801282415820575
1980-10-04,41472.0,0.0,450.05,0.0,26.5,10.19,1255.56,0.31501068679850486
1980-10-05,41472.0,0.0,454.48,0.0,27.29,10.1,1248.33,0.26775908377872915
1980-10-06,41472.0,0.0,453.81,0.0,27.5,10.0,1240.0,0.22050748075895338
1980-10-07,41126.4,0.0,416.09,0.0,25.0,10.51,1280.68,0.20475694641902814
1980-10-08,41126.4,0.0,458.08,0.0,27.0,8.69,1134.91,0.17325587773917767
1980-10-09,41126.4,0.0,464.42,0.0,29.0,9.0,1160.0,0.1559302899652599
1980-10-10,40780.81,0.0,452.22,0.0,30.0,10.5,1280.0,0.1370296487573496
1980-10-11,40780.81,0.0,437.61,0.0,31.0,12.14,1411.45,0.12127911441742435
1980-10-12,40780.81,0.0,440.97,0.0,30.34,11.0,1320.0,0.10710363351149164
1980-10-13,40435.92,0.0,463.92,0.0,27.5,5.97,920.0,0.09292815260555892
1980-10-14,40435.2,0.0,433.53,0.0,27.0,8.38,1110.27,0.08347783200160377
1980-10-15,40435.2,0.0,394.76,0.0,28.79,12.5,1440.0,0.07560256483164116
1980-10-16,40435.2,0.0,366.85,0.0,30.0,14.99,1718.18,0.06615224422768602
1980-10-17,40089.6,0.0,357.17,0.0,31.0,16.09,1815.14,0.05985203049171592
1980-10-18,40089.6,0.0,334.22,0.0,31.5,17.5,2000.0,0.055126870189738345
1980-10-19,40089.6,0.0,294.4,0.0,31.0,19.0,2200.0,0.0519767633217533
1980-10-20,39744.0,12.51,205.9,0.0,29.5,18.64,2142.05,0.07875267169962621
1980-10-21,39744.0,0.0,318.59,0.0,27.02,14.37,1629.5,0.06930235109567107
1980-10-22,39744.0,1.3,256.16,0.0,24.84,15.13,1730.14,0.06300213735970096
1980-10-23,39492.05,42.13,96.62,0.0,21.5,17.0,1920.68,0.42526442717798146
1980-10-24,39398.4,33.26,95.03,0.0,20.29,16.0,1800.34,1.3387954188936455
1980-10-25,39398.4,1.33,188.96,0.0,19.51,13.11,1498.3,1.228541678514169
1980-10-26,39398.4,0.0,408.13,0.0,20.5,3.0,760.0,1.0867868694548417
1980-10-27,39052.78,0.0,405.12,0.0,22.5,4.5,840.0,0.8977804573757387
1980-10-28,39052.78,29.79,226.86,0.0,23.67,12.0,1399.98,0.9765331290753649
1980-10-29,39052.78,21.53,132.28,0.0,23.44,17.0,1920.0,1.5278018309727484
